source_column,label,mean_abs_shap,share_pct,target
loan_age_months,months since origination,0.413303,11.69,next_3m_delinquency_flag
amortisation_gap,distance from the contractual payment schedule,0.352792,9.98,next_3m_delinquency_flag
delinquency_streak,consecutive months currently delinquent,0.257906,7.29,next_3m_delinquency_flag
ltv_band_ordinal,loan-to-value ratio,0.215323,6.09,next_3m_delinquency_flag
state,state,0.208109,5.89,next_3m_delinquency_flag
rate_incentive_pctile,refinance incentive versus other loans that month,0.202336,5.72,next_3m_delinquency_flag
original_balance,original loan amount,0.182199,5.15,next_3m_delinquency_flag
vintage,origination year,0.164293,4.65,next_3m_delinquency_flag
dti_band_ordinal,debt-to-income ratio,0.130045,3.68,next_3m_delinquency_flag
interest_rate,interest rate,0.124098,3.51,next_3m_delinquency_flag
current_balance,current balance,0.117582,3.33,next_3m_delinquency_flag
term_progress,how far through its term the loan is,0.102768,2.91,next_3m_delinquency_flag
rate_incentive,rate paid above the market rate,0.098639,2.79,next_3m_delinquency_flag
balance_ratio,share of the original balance still outstanding,0.076074,2.15,next_3m_delinquency_flag
remaining_term_months,months left on the term,0.073478,2.08,next_3m_delinquency_flag
loan_purpose,loan purpose,0.072508,2.05,next_3m_delinquency_flag
occupancy_type,occupancy type,0.070865,2.0,next_3m_delinquency_flag
servicer_name,servicer,0.06818,1.93,next_3m_delinquency_flag
scheduled_balance_ratio,balance the payment schedule expects,0.067733,1.92,next_3m_delinquency_flag
balance_change_3m,balance movement over the last three months,0.062967,1.78,next_3m_delinquency_flag
credit_score_band,credit score band,0.059882,1.69,next_3m_delinquency_flag
dti_band,debt-to-income band,0.047297,1.34,next_3m_delinquency_flag
n_status_changes_to_date,number of status changes so far,0.047192,1.33,next_3m_delinquency_flag
credit_score_band_ordinal,credit score,0.042072,1.19,next_3m_delinquency_flag
property_type,property type,0.040906,1.16,next_3m_delinquency_flag
ltv_band,loan-to-value band,0.036856,1.04,next_3m_delinquency_flag
months_delinquent_to_date,months spent delinquent so far,0.035691,1.01,next_3m_delinquency_flag
market_rate,prevailing market rate that month,0.035051,0.99,next_3m_delinquency_flag
days_past_due,days past due,0.031114,0.88,next_3m_delinquency_flag
source_system,source system,0.028305,0.8,next_3m_delinquency_flag
data_quality_score,record data-quality score,0.022996,0.65,next_3m_delinquency_flag
document_status,document status,0.022071,0.62,next_3m_delinquency_flag
servicer_update_lag_days,days between the month and its last update,0.018946,0.54,next_3m_delinquency_flag
current_status,payment status,0.002699,0.08,next_3m_delinquency_flag
original_interest_rate,rate at origination,0.001841,0.05,next_3m_delinquency_flag
source_stale,reporting source updated late,0.001068,0.03,next_3m_delinquency_flag
rule_violation_count,number of validation rules broken,0.000509,0.01,next_3m_delinquency_flag
source_conflict,servicer feed disagrees with the panel,0.000472,0.01,next_3m_delinquency_flag
modification_flag,loan has been modified,0.0,0.0,next_3m_delinquency_flag
original_term_months,original term,0.0,0.0,next_3m_delinquency_flag
ever_modified,has ever been modified,0.0,0.0,next_3m_delinquency_flag
ever_delinquent,has ever been delinquent,0.0,0.0,next_3m_delinquency_flag
max_dpd_to_date,worst delinquency reached,0.0,0.0,next_3m_delinquency_flag
ltv_band_ordinal,loan-to-value ratio,0.33953,8.29,next_6m_delinquency_flag
rate_incentive_pctile,refinance incentive versus other loans that month,0.303609,7.42,next_6m_delinquency_flag
original_balance,original loan amount,0.27658,6.76,next_6m_delinquency_flag
loan_age_months,months since origination,0.26426,6.46,next_6m_delinquency_flag
amortisation_gap,distance from the contractual payment schedule,0.253662,6.2,next_6m_delinquency_flag
interest_rate,interest rate,0.240715,5.88,next_6m_delinquency_flag
n_status_changes_to_date,number of status changes so far,0.214934,5.25,next_6m_delinquency_flag
delinquency_streak,consecutive months currently delinquent,0.205346,5.02,next_6m_delinquency_flag
remaining_term_months,months left on the term,0.188088,4.59,next_6m_delinquency_flag
state,state,0.177452,4.34,next_6m_delinquency_flag
servicer_name,servicer,0.176908,4.32,next_6m_delinquency_flag
ltv_band,loan-to-value band,0.132674,3.24,next_6m_delinquency_flag
current_balance,current balance,0.125344,3.06,next_6m_delinquency_flag
scheduled_balance_ratio,balance the payment schedule expects,0.123966,3.03,next_6m_delinquency_flag
property_type,property type,0.113007,2.76,next_6m_delinquency_flag
rate_incentive,rate paid above the market rate,0.10968,2.68,next_6m_delinquency_flag
loan_purpose,loan purpose,0.09112,2.23,next_6m_delinquency_flag
dti_band_ordinal,debt-to-income ratio,0.088589,2.16,next_6m_delinquency_flag
market_rate,prevailing market rate that month,0.082625,2.02,next_6m_delinquency_flag
credit_score_band,credit score band,0.082245,2.01,next_6m_delinquency_flag
occupancy_type,occupancy type,0.076301,1.86,next_6m_delinquency_flag
dti_band,debt-to-income band,0.062987,1.54,next_6m_delinquency_flag
credit_score_band_ordinal,credit score,0.062149,1.52,next_6m_delinquency_flag
balance_ratio,share of the original balance still outstanding,0.055753,1.36,next_6m_delinquency_flag
source_system,source system,0.055071,1.35,next_6m_delinquency_flag
vintage,origination year,0.048856,1.19,next_6m_delinquency_flag
balance_change_3m,balance movement over the last three months,0.0453,1.11,next_6m_delinquency_flag
