month,p5,p25,p50,p75,p95,mean,scenario
0,0.0,0.0,0.0,0.0,0.0,0.0,base
1,0.0006844626967830253,0.0013689253935660506,0.002053388090349076,0.0027378507871321013,0.0034223134839151265,0.0019438740588637923,base
2,0.0013689253935660506,0.0027378507871321013,0.0034223134839151265,0.004106776180698152,0.006160164271047228,0.003554642938626512,base
3,0.002053388090349076,0.004106776180698152,0.004791238877481177,0.006160164271047228,0.008213552361396304,0.0048825005703855805,base
4,0.0027378507871321013,0.004791238877481177,0.006160164271047228,0.007529089664613279,0.00889801505817933,0.006043805612594114,base
5,0.004072553045859002,0.0054757015742642025,0.006844626967830253,0.008213552361396304,0.01026694045174538,0.007097878165639972,base
6,0.004791238877481177,0.006844626967830253,0.008213552361396304,0.009582477754962354,0.01163586584531143,0.00808806753365275,base
7,0.0054757015742642025,0.007529089664613279,0.00889801505817933,0.01026694045174538,0.012354551676933615,0.009060004563084645,base
8,0.006160164271047228,0.008213552361396304,0.01026694045174538,0.01163586584531143,0.013689253935660506,0.010025096965548711,base
9,0.006844626967830253,0.00889801505817933,0.010951403148528405,0.012320328542094456,0.015058179329226557,0.010933150809947525,base
10,0.007529089664613279,0.010095824777549623,0.01163586584531143,0.013689253935660506,0.01642710472279261,0.011749942961441934,base
11,0.008213552361396304,0.010951403148528405,0.012320328542094456,0.014373716632443531,0.01779603011635866,0.012653433721195529,base
12,0.00889801505817933,0.01163586584531143,0.013004791238877482,0.01574264202600958,0.018480492813141684,0.013540953684690852,base
0,0.0,0.0,0.0,0.0,0.0,0.0,adverse_credit
1,0.0013689253935660506,0.0027378507871321013,0.0034223134839151265,0.004106776180698152,0.0054757015742642025,0.0035295459730778004,adverse_credit
2,0.004072553045859002,0.0054757015742642025,0.006844626967830253,0.008213552361396304,0.009616700889801513,0.006751083732603241,adverse_credit
3,0.0054757015742642025,0.008213552361396304,0.009582477754962354,0.010951403148528405,0.013689253935660506,0.00939767282683094,adverse_credit
4,0.007529089664613279,0.01026694045174538,0.012320328542094456,0.013689253935660506,0.01574264202600958,0.011975815651380334,adverse_credit
5,0.01026694045174538,0.012320328542094456,0.014373716632443531,0.01642710472279261,0.019164955509924708,0.01454483230663929,adverse_credit
6,0.01163586584531143,0.014373716632443531,0.017111567419575632,0.019164955509924708,0.02190280629705681,0.01702715035363906,adverse_credit
7,0.014373716632443531,0.017111567419575632,0.019849418206707735,0.02190280629705681,0.024640657084188913,0.01946611909650924,adverse_credit
8,0.01642710472279261,0.019164955509924708,0.022245037645448322,0.024640657084188913,0.02806297056810404,0.0221263974446726,adverse_credit
9,0.018480492813141684,0.02190280629705681,0.024640657084188913,0.02737850787132101,0.030800821355236138,0.024720511065480264,adverse_credit
10,0.019849418206707735,0.024640657084188913,0.02737850787132101,0.030116358658453114,0.0335728952772074,0.027280401551448778,adverse_credit
11,0.022553045859000687,0.026694045174537988,0.030116358658453114,0.03285420944558522,0.03696098562628337,0.02968742870180242,adverse_credit
12,0.023956194387405885,0.02943189596167009,0.03216974674880219,0.03559206023271732,0.039014373716632446,0.03218343600273785,adverse_credit
0,0.0,0.0,0.0,0.0,0.0,0.0,high_prepayment
1,0.0,0.0006844626967830253,0.0013689253935660506,0.002053388090349076,0.0034223134839151265,0.0016427104722792608,high_prepayment
2,0.0006844626967830253,0.002053388090349076,0.0027378507871321013,0.0034223134839151265,0.0054757015742642025,0.002883869495779147,high_prepayment
3,0.0013689253935660506,0.0027378507871321013,0.004106776180698152,0.004791238877481177,0.006844626967830253,0.003958475929728496,high_prepayment
4,0.0027036276522929507,0.0034223134839151265,0.004791238877481177,0.006160164271047228,0.008213552361396304,0.004850558977869039,high_prepayment
5,0.0027378507871321013,0.004106776180698152,0.0054757015742642025,0.006844626967830253,0.00889801505817933,0.005598904859685147,high_prepayment
6,0.0034223134839151265,0.004791238877481177,0.006160164271047228,0.007529089664613279,0.009582477754962354,0.006246862879306411,high_prepayment
7,0.0034223134839151265,0.0054757015742642025,0.006844626967830253,0.008213552361396304,0.01026694045174538,0.006862879306411133,high_prepayment
8,0.004106776180698152,0.006160164271047228,0.007529089664613279,0.00889801505817933,0.010951403148528405,0.007465206479580197,high_prepayment
9,0.004757015742642027,0.006844626967830253,0.008213552361396304,0.009582477754962354,0.01163586584531143,0.008031028975587497,high_prepayment
10,0.004791238877481177,0.006844626967830253,0.008213552361396304,0.01026694045174538,0.012320328542094456,0.008599133013917409,high_prepayment
11,0.0054757015742642025,0.007529089664613279,0.00889801505817933,0.010951403148528405,0.01303901437371664,0.00916039242527949,high_prepayment
12,0.0054757015742642025,0.008213552361396304,0.009582477754962354,0.010951403148528405,0.013689253935660506,0.009655487109285878,high_prepayment
