loan_id,reporting_month,data_quality_score
LN100000,2023-12-01,95.83
LN100001,2020-09-01,98.75
LN100001,2020-10-01,98.75
LN100001,2020-11-01,98.75
LN100001,2020-12-01,98.75
LN100001,2021-01-01,98.75
LN100001,2021-02-01,98.75
LN100001,2021-03-01,37.5
LN100001,2021-04-01,98.75
LN100001,2021-05-01,98.75
LN100001,2021-06-01,98.75
LN100001,2021-07-01,98.75
LN100001,2021-08-01,98.75
LN100001,2021-09-01,98.75
LN100001,2021-10-01,98.75
LN100001,2021-11-01,98.75
LN100001,2021-12-01,98.75
LN100001,2022-01-01,94.58
LN100001,2022-02-01,98.75
LN100001,2022-03-01,98.75
LN100001,2022-04-01,98.75
LN100001,2022-05-01,98.75
LN100001,2022-06-01,98.75
LN100001,2022-07-01,98.75
LN100001,2022-08-01,98.75
LN100001,2022-09-01,98.75
LN100001,2022-10-01,98.75
LN100001,2022-11-01,98.75
LN100001,2022-12-01,98.75
LN100001,2023-01-01,98.75
LN100001,2023-02-01,98.75
LN100001,2023-03-01,94.58
LN100001,2023-04-01,98.75
LN100001,2023-05-01,98.75
LN100001,2023-06-01,98.75
LN100001,2023-07-01,97.5
LN100001,2023-08-01,97.5
LN100001,2023-09-01,97.5
LN100001,2023-10-01,97.5
LN100001,2023-11-01,97.5
LN100001,2023-12-01,97.5
LN100002,2021-10-01,98.75
LN100002,2021-11-01,98.75
LN100002,2021-12-01,98.75
LN100002,2022-01-01,98.75
LN100002,2022-02-01,98.75
LN100002,2022-03-01,58.75
LN100002,2022-04-01,98.75
LN100002,2022-05-01,98.75
LN100002,2022-06-01,98.75
LN100002,2022-07-01,98.75
LN100002,2022-08-01,98.75
LN100002,2022-09-01,98.75
LN100002,2022-10-01,98.75
LN100002,2022-11-01,98.75
LN100002,2022-12-01,98.75
LN100002,2023-01-01,98.75
LN100002,2023-02-01,98.75
LN100002,2023-03-01,98.75
LN100002,2023-04-01,98.75
LN100002,2023-05-01,94.58
LN100002,2023-06-01,98.75
LN100002,2023-07-01,98.75
LN100002,2023-08-01,98.75
LN100002,2023-09-01,98.75
LN100002,2023-10-01,98.75
LN100002,2023-11-01,98.75
LN100002,2023-12-01,98.75
LN100003,2021-09-01,100.0
LN100003,2021-10-01,100.0
LN100003,2021-11-01,100.0
LN100003,2021-12-01,100.0
LN100003,2022-01-01,100.0
LN100003,2022-02-01,100.0
LN100003,2022-03-01,100.0
LN100003,2022-04-01,100.0
LN100004,2023-05-01,100.0
LN100004,2023-06-01,100.0
LN100004,2023-06-01,100.0
LN100004,2023-07-01,37.5
LN100004,2023-08-01,100.0
LN100004,2023-09-01,100.0
LN100004,2023-10-01,100.0
LN100004,2023-11-01,100.0
LN100004,2023-12-01,100.0
LN100005,2021-04-01,100.0
LN100005,2021-05-01,100.0
LN100005,2021-06-01,100.0
LN100005,2021-07-01,100.0
LN100005,2021-08-01,100.0
LN100005,2021-09-01,100.0
LN100005,2021-10-01,100.0
LN100005,2021-11-01,100.0
LN100005,2021-12-01,100.0
LN100005,2022-01-01,100.0
LN100005,2022-02-01,100.0
LN100005,2022-03-01,100.0
LN100005,2022-04-01,100.0
LN100005,2022-05-01,100.0
LN100005,2022-06-01,100.0
LN100005,2022-07-01,100.0
LN100005,2022-08-01,100.0
LN100005,2022-09-01,100.0
LN100005,2022-10-01,100.0
LN100005,2022-11-01,100.0
LN100005,2022-12-01,33.33
LN100005,2023-01-01,100.0
LN100005,2023-02-01,100.0
LN100005,2023-03-01,100.0
LN100005,2023-04-01,95.0
LN100005,2023-05-01,30.0
LN100006,2020-06-01,98.75
LN100006,2020-07-01,98.75
LN100006,2020-08-01,93.75
LN100006,2020-09-01,98.75
LN100006,2020-10-01,98.75
LN100006,2020-11-01,98.75
LN100006,2020-12-01,98.75
LN100006,2021-01-01,98.75
LN100006,2021-02-01,98.75
LN100006,2021-03-01,98.75
LN100006,2021-04-01,98.75
LN100006,2021-05-01,98.75
LN100006,2021-06-01,98.75
LN100006,2021-07-01,64.58
LN100007,2019-02-01,96.25
LN100007,2019-03-01,96.25
LN100007,2019-04-01,96.25
LN100007,2019-05-01,96.25
LN100007,2019-06-01,96.25
LN100007,2019-07-01,96.25
LN100007,2019-08-01,96.25
LN100007,2019-09-01,30.0
LN100007,2019-10-01,96.25
LN100007,2019-11-01,96.25
LN100008,2020-11-01,98.75
LN100008,2020-12-01,98.75
LN100008,2021-01-01,98.75
LN100008,2021-02-01,98.75
LN100008,2021-03-01,98.75
LN100008,2021-04-01,98.75
LN100008,2021-05-01,98.75
LN100008,2021-06-01,98.75
LN100008,2021-07-01,98.75
LN100008,2021-08-01,98.75
LN100008,2021-09-01,98.75
LN100008,2021-10-01,98.75
LN100008,2021-11-01,98.75
LN100008,2021-12-01,98.75
LN100008,2022-01-01,98.75
LN100008,2022-02-01,98.75
LN100008,2022-03-01,98.75
LN100008,2022-04-01,98.75
LN100008,2022-05-01,58.75
LN100008,2022-06-01,98.75
LN100008,2022-07-01,98.75
LN100008,2022-08-01,98.75
LN100008,2022-09-01,98.75
LN100008,2022-10-01,98.75
LN100008,2022-11-01,98.75
LN100008,2022-12-01,98.75
LN100008,2023-01-01,98.75
LN100008,2023-02-01,98.75
LN100008,2023-03-01,98.75
LN100008,2023-04-01,98.75
LN100008,2023-05-01,98.75
LN100008,2023-06-01,98.75
LN100008,2023-07-01,94.58
LN100008,2023-08-01,98.75
LN100008,2023-09-01,97.5
LN100008,2023-10-01,97.5
LN100008,2023-11-01,97.5
LN100008,2023-12-01,97.5
LN100009,2023-04-01,97.5
LN100009,2023-05-01,97.5
LN100009,2023-06-01,97.5
LN100009,2023-07-01,92.5
LN100009,2023-08-01,97.5
LN100009,2023-09-01,97.5
LN100009,2023-10-01,97.5
LN100009,2023-11-01,97.5
LN100009,2023-12-01,97.5
LN100010,2019-01-01,98.75
LN100010,2019-02-01,98.75
LN100010,2019-03-01,98.75
LN100010,2019-04-01,98.75
LN100010,2019-05-01,98.75
LN100010,2019-06-01,98.75
LN100010,2019-07-01,98.75
LN100010,2019-08-01,98.75
LN100010,2019-09-01,98.75
LN100010,2019-10-01,98.75
LN100010,2019-11-01,98.75
LN100010,2019-12-01,98.75
LN100010,2020-01-01,98.75
LN100011,2023-08-01,93.33
LN100011,2023-09-01,93.33
LN100011,2023-10-01,97.5
LN100011,2023-11-01,97.5
LN100011,2023-12-01,97.5
LN100012,2021-10-01,60.0
LN100012,2021-11-01,100.0
LN100012,2021-12-01,100.0
LN100012,2022-01-01,60.0
LN100012,2022-02-01,100.0
LN100012,2022-03-01,100.0
LN100012,2022-04-01,100.0
LN100012,2022-05-01,100.0
LN100012,2022-06-01,100.0
LN100012,2022-07-01,100.0
LN100012,2022-08-01,95.0
