loan_id,reporting_month,balance_non_increasing,date_order_valid,dpd_status_consistency,terminal_state_immutability,document_completeness_at_closure,servicer_source_agreement,balance_within_original,stale_record
LN100000,2023-12-01,False,False,False,False,False,False,False,False
LN100001,2020-09-01,False,False,False,False,False,False,False,False
LN100001,2020-10-01,False,False,False,False,False,False,False,False
LN100001,2020-11-01,False,False,False,False,False,False,False,False
LN100001,2020-12-01,False,False,False,False,False,False,False,False
LN100001,2021-01-01,False,False,False,False,False,False,False,False
LN100001,2021-02-01,False,False,False,False,False,False,False,False
LN100001,2021-03-01,True,False,False,False,False,False,True,False
LN100001,2021-04-01,False,False,False,False,False,False,False,False
LN100001,2021-05-01,False,False,False,False,False,False,False,False
LN100001,2021-06-01,False,False,False,False,False,False,False,False
LN100001,2021-07-01,False,False,False,False,False,False,False,False
LN100001,2021-08-01,False,False,False,False,False,False,False,False
LN100001,2021-09-01,False,False,False,False,False,False,False,False
LN100001,2021-10-01,False,False,False,False,False,False,False,False
LN100001,2021-11-01,False,False,False,False,False,False,False,False
LN100001,2021-12-01,False,False,False,False,False,False,False,False
LN100001,2022-01-01,False,False,False,False,False,False,False,False
LN100001,2022-02-01,False,False,False,False,False,False,False,False
LN100001,2022-03-01,False,False,False,False,False,False,False,False
LN100001,2022-04-01,False,False,False,False,False,False,False,False
LN100001,2022-05-01,False,False,False,False,False,False,False,False
LN100001,2022-06-01,False,False,False,False,False,False,False,False
LN100001,2022-07-01,False,False,False,False,False,False,False,False
LN100001,2022-08-01,False,False,False,False,False,False,False,False
LN100001,2022-09-01,False,False,False,False,False,False,False,False
LN100001,2022-10-01,False,False,False,False,False,False,False,False
LN100001,2022-11-01,False,False,False,False,False,False,False,False
LN100001,2022-12-01,False,False,False,False,False,False,False,False
LN100001,2023-01-01,False,False,False,False,False,False,False,False
LN100001,2023-02-01,False,False,False,False,False,False,False,False
LN100001,2023-03-01,False,False,False,False,False,False,False,False
LN100001,2023-04-01,False,False,False,False,False,False,False,False
LN100001,2023-05-01,False,False,False,False,False,False,False,False
LN100001,2023-06-01,False,False,False,False,False,False,False,False
LN100001,2023-07-01,False,False,False,False,False,False,False,False
LN100001,2023-08-01,False,False,False,False,False,False,False,False
LN100001,2023-09-01,False,False,False,False,False,False,False,False
LN100001,2023-10-01,False,False,False,False,False,False,False,False
LN100001,2023-11-01,False,False,False,False,False,False,False,False
LN100001,2023-12-01,False,False,False,False,False,False,False,False
LN100002,2021-10-01,False,False,False,False,False,False,False,False
LN100002,2021-11-01,False,False,False,False,False,False,False,False
LN100002,2021-12-01,False,False,False,False,False,False,False,False
LN100002,2022-01-01,False,False,False,False,False,False,False,False
LN100002,2022-02-01,False,False,False,False,False,False,False,False
LN100002,2022-03-01,False,False,False,False,False,True,False,False
LN100002,2022-04-01,False,False,False,False,False,False,False,False
LN100002,2022-05-01,False,False,False,False,False,False,False,False
LN100002,2022-06-01,False,False,False,False,False,False,False,False
LN100002,2022-07-01,False,False,False,False,False,False,False,False
LN100002,2022-08-01,False,False,False,False,False,False,False,False
LN100002,2022-09-01,False,False,False,False,False,False,False,False
LN100002,2022-10-01,False,False,False,False,False,False,False,False
LN100002,2022-11-01,False,False,False,False,False,False,False,False
LN100002,2022-12-01,False,False,False,False,False,False,False,False
LN100002,2023-01-01,False,False,False,False,False,False,False,False
LN100002,2023-02-01,False,False,False,False,False,False,False,False
LN100002,2023-03-01,False,False,False,False,False,False,False,False
LN100002,2023-04-01,False,False,False,False,False,False,False,False
LN100002,2023-05-01,False,False,False,False,False,False,False,False
LN100002,2023-06-01,False,False,False,False,False,False,False,False
LN100002,2023-07-01,False,False,False,False,False,False,False,False
LN100002,2023-08-01,False,False,False,False,False,False,False,False
LN100002,2023-09-01,False,False,False,False,False,False,False,False
LN100002,2023-10-01,False,False,False,False,False,False,False,False
LN100002,2023-11-01,False,False,False,False,False,False,False,False
LN100002,2023-12-01,False,False,False,False,False,False,False,False
LN100003,2021-09-01,False,False,False,False,False,False,False,False
LN100003,2021-10-01,False,False,False,False,False,False,False,False
LN100003,2021-11-01,False,False,False,False,False,False,False,False
LN100003,2021-12-01,False,False,False,False,False,False,False,False
LN100003,2022-01-01,False,False,False,False,False,False,False,False
LN100003,2022-02-01,False,False,False,False,False,False,False,False
LN100003,2022-03-01,False,False,False,False,False,False,False,False
LN100003,2022-04-01,False,False,False,False,False,False,False,False
LN100004,2023-05-01,False,False,False,False,False,False,False,False
LN100004,2023-06-01,False,False,False,False,False,False,False,False
LN100004,2023-06-01,False,False,False,False,False,False,False,False
LN100004,2023-07-01,True,False,False,False,False,False,True,False
LN100004,2023-08-01,False,False,False,False,False,False,False,False
LN100004,2023-09-01,False,False,False,False,False,False,False,False
LN100004,2023-10-01,False,False,False,False,False,False,False,False
LN100004,2023-11-01,False,False,False,False,False,False,False,False
LN100004,2023-12-01,False,False,False,False,False,False,False,False
LN100005,2021-04-01,False,False,False,False,False,False,False,False
LN100005,2021-05-01,False,False,False,False,False,False,False,False
LN100005,2021-06-01,False,False,False,False,False,False,False,False
LN100005,2021-07-01,False,False,False,False,False,False,False,False
LN100005,2021-08-01,False,False,False,False,False,False,False,False
LN100005,2021-09-01,False,False,False,False,False,False,False,False
LN100005,2021-10-01,False,False,False,False,False,False,False,False
LN100005,2021-11-01,False,False,False,False,False,False,False,False
LN100005,2021-12-01,False,False,False,False,False,False,False,False
LN100005,2022-01-01,False,False,False,False,False,False,False,False
LN100005,2022-02-01,False,False,False,False,False,False,False,False
LN100005,2022-03-01,False,False,False,False,False,False,False,False
LN100005,2022-04-01,False,False,False,False,False,False,False,False
LN100005,2022-05-01,False,False,False,False,False,False,False,False
LN100005,2022-06-01,False,False,False,False,False,False,False,False
LN100005,2022-07-01,False,False,False,False,False,False,False,False
LN100005,2022-08-01,False,False,False,False,False,False,False,False
LN100005,2022-09-01,False,False,False,False,False,False,False,False
LN100005,2022-10-01,False,False,False,False,False,False,False,False
LN100005,2022-11-01,False,False,False,False,False,False,False,False
LN100005,2022-12-01,True,False,False,False,False,False,True,False
LN100005,2023-01-01,False,False,False,False,False,False,False,False
LN100005,2023-02-01,False,False,False,False,False,False,False,False
LN100005,2023-03-01,False,False,False,False,False,False,False,False
LN100005,2023-04-01,False,False,False,False,False,False,False,False
LN100005,2023-05-01,False,False,False,False,True,True,False,False
LN100006,2020-06-01,False,False,False,False,False,False,False,False
LN100006,2020-07-01,False,False,False,False,False,False,False,False
LN100006,2020-08-01,False,False,False,False,False,False,False,False
LN100006,2020-09-01,False,False,False,False,False,False,False,False
LN100006,2020-10-01,False,False,False,False,False,False,False,False
LN100006,2020-11-01,False,False,False,False,False,False,False,False
LN100006,2020-12-01,False,False,False,False,False,False,False,False
LN100006,2021-01-01,False,False,False,False,False,False,False,False
LN100006,2021-02-01,False,False,False,False,False,False,False,False
LN100006,2021-03-01,False,False,False,False,False,False,False,False
LN100006,2021-04-01,False,False,False,False,False,False,False,False
LN100006,2021-05-01,False,False,False,False,False,False,False,False
LN100006,2021-06-01,False,False,False,False,False,False,False,False
LN100006,2021-07-01,False,False,False,False,True,False,False,False
LN100007,2019-02-01,False,False,False,False,False,False,False,False
LN100007,2019-03-01,False,False,False,False,False,False,False,False
LN100007,2019-04-01,False,False,False,False,False,False,False,False
LN100007,2019-05-01,False,False,False,False,False,False,False,False
LN100007,2019-06-01,False,False,False,False,False,False,False,False
LN100007,2019-07-01,False,False,False,False,False,False,False,False
LN100007,2019-08-01,False,False,False,False,False,False,False,False
LN100007,2019-09-01,True,False,False,False,False,False,True,False
LN100007,2019-10-01,False,False,False,False,False,False,False,False
LN100007,2019-11-01,False,False,False,False,False,False,False,False
LN100008,2020-11-01,False,False,False,False,False,False,False,False
LN100008,2020-12-01,False,False,False,False,False,False,False,False
LN100008,2021-01-01,False,False,False,False,False,False,False,False
LN100008,2021-02-01,False,False,False,False,False,False,False,False
LN100008,2021-03-01,False,False,False,False,False,False,False,False
LN100008,2021-04-01,False,False,False,False,False,False,False,False
LN100008,2021-05-01,False,False,False,False,False,False,False,False
LN100008,2021-06-01,False,False,False,False,False,False,False,False
LN100008,2021-07-01,False,False,False,False,False,False,False,False
LN100008,2021-08-01,False,False,False,False,False,False,False,False
LN100008,2021-09-01,False,False,False,False,False,False,False,False
LN100008,2021-10-01,False,False,False,False,False,False,False,False
LN100008,2021-11-01,False,False,False,False,False,False,False,False
LN100008,2021-12-01,False,False,False,False,False,False,False,False
LN100008,2022-01-01,False,False,False,False,False,False,False,False
LN100008,2022-02-01,False,False,False,False,False,False,False,False
LN100008,2022-03-01,False,False,False,False,False,False,False,False
LN100008,2022-04-01,False,False,False,False,False,False,False,False
LN100008,2022-05-01,False,False,False,False,False,True,False,False
LN100008,2022-06-01,False,False,False,False,False,False,False,False
LN100008,2022-07-01,False,False,False,False,False,False,False,False
LN100008,2022-08-01,False,False,False,False,False,False,False,False
LN100008,2022-09-01,False,False,False,False,False,False,False,False
LN100008,2022-10-01,False,False,False,False,False,False,False,False
LN100008,2022-11-01,False,False,False,False,False,False,False,False
LN100008,2022-12-01,False,False,False,False,False,False,False,False
LN100008,2023-01-01,False,False,False,False,False,False,False,False
LN100008,2023-02-01,False,False,False,False,False,False,False,False
LN100008,2023-03-01,False,False,False,False,False,False,False,False
LN100008,2023-04-01,False,False,False,False,False,False,False,False
LN100008,2023-05-01,False,False,False,False,False,False,False,False
LN100008,2023-06-01,False,False,False,False,False,False,False,False
LN100008,2023-07-01,False,False,False,False,False,False,False,False
LN100008,2023-08-01,False,False,False,False,False,False,False,False
LN100008,2023-09-01,False,False,False,False,False,False,False,False
LN100008,2023-10-01,False,False,False,False,False,False,False,False
LN100008,2023-11-01,False,False,False,False,False,False,False,False
LN100008,2023-12-01,False,False,False,False,False,False,False,False
LN100009,2023-04-01,False,False,False,False,False,False,False,False
LN100009,2023-05-01,False,False,False,False,False,False,False,False
LN100009,2023-06-01,False,False,False,False,False,False,False,False
LN100009,2023-07-01,False,False,False,False,False,False,False,False
LN100009,2023-08-01,False,False,False,False,False,False,False,False
LN100009,2023-09-01,False,False,False,False,False,False,False,False
LN100009,2023-10-01,False,False,False,False,False,False,False,False
LN100009,2023-11-01,False,False,False,False,False,False,False,False
LN100009,2023-12-01,False,False,False,False,False,False,False,False
LN100010,2019-01-01,False,False,False,False,False,False,False,False
LN100010,2019-02-01,False,False,False,False,False,False,False,False
LN100010,2019-03-01,False,False,False,False,False,False,False,False
LN100010,2019-04-01,False,False,False,False,False,False,False,False
LN100010,2019-05-01,False,False,False,False,False,False,False,False
LN100010,2019-06-01,False,False,False,False,False,False,False,False
LN100010,2019-07-01,False,False,False,False,False,False,False,False
LN100010,2019-08-01,False,False,False,False,False,False,False,False
LN100010,2019-09-01,False,False,False,False,False,False,False,False
LN100010,2019-10-01,False,False,False,False,False,False,False,False
LN100010,2019-11-01,False,False,False,False,False,False,False,False
LN100010,2019-12-01,False,False,False,False,False,False,False,False
LN100010,2020-01-01,False,False,False,False,False,False,False,False
LN100011,2023-08-01,False,False,False,False,False,False,False,False
LN100011,2023-09-01,False,False,False,False,False,False,False,False
LN100011,2023-10-01,False,False,False,False,False,False,False,False
LN100011,2023-11-01,False,False,False,False,False,False,False,False
LN100011,2023-12-01,False,False,False,False,False,False,False,False
LN100012,2021-10-01,False,False,False,False,False,True,False,False
LN100012,2021-11-01,False,False,False,False,False,False,False,False
LN100012,2021-12-01,False,False,False,False,False,False,False,False
LN100012,2022-01-01,False,False,False,False,False,True,False,False
LN100012,2022-02-01,False,False,False,False,False,False,False,False
LN100012,2022-03-01,False,False,False,False,False,False,False,False
LN100012,2022-04-01,False,False,False,False,False,False,False,False
LN100012,2022-05-01,False,False,False,False,False,False,False,False
LN100012,2022-06-01,False,False,False,False,False,False,False,False
LN100012,2022-07-01,False,False,False,False,False,False,False,False
LN100012,2022-08-01,False,False,False,False,False,False,False,False
LN100012,2022-09-01,False,False,False,False,False,False,False,False
LN100012,2022-10-01,False,False,False,False,False,False,False,False
LN100012,2022-11-01,False,False,False,False,False,False,False,False
LN100012,2022-12-01,False,False,False,False,False,False,False,False
LN100012,2023-01-01,False,False,False,False,False,False,False,False
LN100012,2023-02-01,False,False,False,False,False,False,False,False
LN100012,2023-03-01,False,False,False,False,False,False,False,False
LN100012,2023-04-01,False,False,False,False,False,False,False,False
LN100012,2023-05-01,False,False,False,False,False,False,False,False
LN100012,2023-06-01,False,False,False,False,False,False,False,False
LN100012,2023-07-01,False,False,False,False,False,False,False,False
LN100013,2019-09-01,False,False,False,False,False,False,False,False
LN100013,2019-10-01,False,False,False,False,False,False,False,False
LN100013,2019-11-01,False,False,False,False,False,False,False,False
LN100013,2019-12-01,False,False,False,False,False,False,False,False
LN100013,2020-01-01,False,False,False,False,False,False,False,False
LN100013,2020-02-01,False,False,False,False,False,False,False,False
LN100013,2020-02-01,False,False,False,False,False,False,False,False
LN100013,2020-03-01,False,False,False,False,False,False,False,False
LN100013,2020-04-01,False,False,False,False,False,False,False,False
LN100013,2020-05-01,False,False,False,False,False,False,False,False
LN100013,2020-06-01,False,False,False,False,False,True,False,False
LN100013,2020-07-01,True,False,False,False,False,False,True,False
LN100013,2020-08-01,False,False,False,False,False,False,False,False
LN100013,2020-09-01,False,False,False,False,False,False,False,False
LN100013,2020-10-01,False,False,False,False,False,False,False,False
LN100013,2020-11-01,False,False,False,False,False,False,False,False
LN100013,2020-12-01,False,False,False,False,False,False,False,False
LN100013,2021-01-01,False,False,False,False,False,False,False,False
LN100013,2021-02-01,False,False,False,False,False,False,False,False
LN100013,2021-03-01,False,False,False,False,False,False,False,False
LN100013,2021-04-01,False,False,False,False,False,False,False,False
LN100013,2021-05-01,True,False,False,False,False,False,True,False
LN100013,2021-06-01,False,False,False,False,False,False,False,False
LN100013,2021-07-01,False,False,False,False,False,False,False,False
LN100013,2021-08-01,False,False,False,False,False,False,False,False
LN100013,2021-09-01,False,False,False,False,False,False,False,False
LN100013,2021-10-01,False,False,False,False,False,False,False,False
LN100013,2021-11-01,False,False,False,False,False,False,False,False
LN100013,2021-12-01,False,False,False,False,False,False,False,False
LN100013,2022-01-01,False,False,False,False,False,False,False,False
LN100013,2022-02-01,False,False,False,False,False,False,False,False
LN100013,2022-03-01,False,False,False,False,False,False,False,False
LN100013,2022-03-01,False,False,False,False,False,False,False,False
LN100013,2022-04-01,False,False,False,False,False,False,False,False
LN100013,2022-05-01,False,False,False,False,False,False,False,False
LN100013,2022-06-01,False,False,False,False,False,False,False,False
LN100013,2022-07-01,False,False,False,False,False,False,False,False
LN100013,2022-08-01,False,False,False,False,False,False,False,False
LN100013,2022-09-01,False,False,False,False,False,False,False,False
LN100013,2022-10-01,False,False,False,False,False,False,False,False
LN100013,2022-11-01,False,False,False,False,False,False,False,False
LN100013,2022-12-01,False,False,False,False,False,False,False,False
LN100013,2023-01-01,False,False,False,False,False,False,False,False
LN100013,2023-02-01,False,False,False,False,False,False,False,False
LN100013,2023-03-01,False,False,False,False,False,False,False,False
LN100013,2023-04-01,False,False,False,False,False,False,False,False
LN100013,2023-05-01,False,False,False,False,False,False,False,False
LN100013,2023-06-01,False,False,False,False,False,False,False,False
LN100013,2023-07-01,False,False,False,False,False,False,False,False
LN100013,2023-08-01,False,False,False,False,False,False,False,False
LN100013,2023-09-01,False,False,False,False,False,False,False,False
LN100013,2023-10-01,False,False,False,False,False,False,False,False
LN100013,2023-11-01,False,False,False,False,False,False,False,False
LN100013,2023-12-01,False,False,False,False,False,False,False,False
LN100014,2020-07-01,False,False,False,False,False,False,False,False
LN100014,2020-08-01,False,False,False,False,False,False,False,False
LN100014,2020-09-01,False,False,False,False,False,False,False,False
LN100014,2020-10-01,False,False,False,False,False,False,False,False
LN100014,2020-11-01,False,False,False,False,False,False,False,False
LN100014,2020-12-01,False,False,False,False,False,False,False,False
LN100014,2021-01-01,False,False,False,False,False,False,False,False
LN100014,2021-02-01,False,False,False,False,False,False,False,False
LN100014,2021-03-01,False,False,False,False,False,True,False,False
LN100014,2021-04-01,False,False,False,False,False,False,False,False
LN100014,2021-05-01,False,False,False,False,False,False,False,False
LN100014,2021-06-01,False,False,False,False,False,False,False,False
LN100014,2021-07-01,False,False,False,False,False,False,False,False
LN100014,2021-08-01,False,False,False,False,False,False,False,False
LN100014,2021-09-01,False,False,False,False,False,False,False,False
LN100014,2021-10-01,False,False,False,False,False,False,False,False
LN100014,2021-11-01,False,False,False,False,False,True,False,False
LN100014,2021-12-01,False,False,False,False,False,False,False,False
LN100014,2022-01-01,False,False,False,False,False,False,False,False
LN100014,2022-02-01,False,False,False,False,False,False,False,False
LN100014,2022-03-01,False,False,False,False,False,False,False,False
LN100014,2022-04-01,False,False,False,False,False,False,False,False
LN100015,2021-11-01,False,False,False,False,False,False,False,False
LN100015,2021-12-01,False,False,False,False,False,False,False,False
LN100015,2022-01-01,False,False,False,False,False,False,False,False
LN100015,2022-02-01,False,False,False,False,False,False,False,False
LN100015,2022-03-01,False,False,False,False,False,False,False,False
LN100015,2022-04-01,False,False,False,False,False,False,False,False
LN100015,2022-05-01,False,False,False,False,False,False,False,False
LN100015,2022-06-01,False,False,False,False,False,False,False,False
LN100015,2022-07-01,False,False,False,False,False,False,False,False
LN100015,2022-08-01,False,False,False,False,False,False,False,False
LN100015,2022-09-01,False,False,False,False,False,False,False,False
