segment_type,segment,scenario,n,default_12m,prepaid_12m
credit_score_band,620-659,adverse_credit,144,0.04662454033603451,0.15385667168098338
credit_score_band,620-659,base,144,0.018540012650150223,0.260916708614068
credit_score_band,620-659,high_prepayment,144,0.013469806708856438,0.474651037960029
credit_score_band,660-699,adverse_credit,262,0.044442646734582536,0.12097815754703689
credit_score_band,660-699,base,262,0.022014788952734524,0.20727074073166066
credit_score_band,660-699,high_prepayment,262,0.01699840305123405,0.39000891585783937
credit_score_band,700-739,adverse_credit,375,0.026757316700001033,0.08017388216304372
credit_score_band,700-739,base,375,0.009712746246560308,0.13882871857207116
credit_score_band,700-739,high_prepayment,375,0.006920726509397956,0.27597080941674884
credit_score_band,740-779,adverse_credit,333,0.027630492651667202,0.063639051559322
credit_score_band,740-779,base,333,0.011322696657980379,0.11064535308353377
credit_score_band,740-779,high_prepayment,333,0.008302192351621532,0.22412556927902494
credit_score_band,780+,adverse_credit,268,0.024058642527773275,0.051496283731108976
credit_score_band,780+,base,268,0.009783628348710752,0.09008657409808433
credit_score_band,780+,high_prepayment,268,0.0071485881589722034,0.1853011413780103
credit_score_band,<620,adverse_credit,79,0.03882968450277689,0.2290957900749831
credit_score_band,<620,base,79,0.016754657165937277,0.3731483173474169
credit_score_band,<620,high_prepayment,79,0.012027127520869886,0.6204203359432457
servicer_name,Apex Mortgage Co,adverse_credit,263,0.030709406894732345,0.08884307257981522
servicer_name,Apex Mortgage Co,base,263,0.012005690408527026,0.1516193627232658
servicer_name,Apex Mortgage Co,high_prepayment,263,0.008689567720080288,0.29103639541691184
servicer_name,Cornerstone Servicing,adverse_credit,287,0.036394340476206696,0.10721653836995151
servicer_name,Cornerstone Servicing,base,287,0.017091169309858795,0.1825684575013126
servicer_name,Cornerstone Servicing,high_prepayment,287,0.012582457315174538,0.3408836065388466
servicer_name,Highland Capital Servicing,adverse_credit,308,0.029635323087058938,0.08955023026622345
servicer_name,Highland Capital Servicing,base,308,0.011603298558900327,0.1536428450692708
servicer_name,Highland Capital Servicing,high_prepayment,308,0.00843789609594387,0.2956222280936768
servicer_name,Meridian Loan Services,adverse_credit,315,0.03838174707624136,0.08370564644018925
servicer_name,Meridian Loan Services,base,315,0.017735985272948264,0.1440963206096429
servicer_name,Meridian Loan Services,high_prepayment,315,0.013688291078460714,0.27983182127799944
servicer_name,Sunrise Servicing,adverse_credit,278,0.025791693473091595,0.10089898878179016
servicer_name,Sunrise Servicing,base,278,0.009046004943161153,0.17231646056584934
servicer_name,Sunrise Servicing,high_prepayment,278,0.006373198287734356,0.3264767976707636
state,AZ,adverse_credit,106,0.04084906097744157,0.07181104728913493
state,AZ,base,106,0.019050056151338434,0.12461830672615623
state,AZ,high_prepayment,106,0.014572164103437067,0.2479166463193694
state,CA,adverse_credit,196,0.04350448530867445,0.09338552086479622
state,CA,base,196,0.021192902884216637,0.16129868815776546
state,CA,high_prepayment,196,0.015975469317942394,0.3094422490667253
state,California,adverse_credit,13,0.03663637011043225,0.05562672617158024
state,California,base,13,0.013603670377682571,0.09639641021559422
state,California,high_prepayment,13,0.009918501070324574,0.1978056894074243
state,FL,adverse_credit,176,0.028381979998277948,0.10164874458128897
state,FL,base,176,0.012222630017219299,0.17411824434626222
state,FL,high_prepayment,176,0.008960898847792033,0.32943229276608194
state,GA,adverse_credit,104,0.025579795888694485,0.1059204749650108
state,GA,base,104,0.009837957025019339,0.17960777287881655
state,GA,high_prepayment,104,0.0070962342700956514,0.3384062587040626
state,IL,adverse_credit,120,0.03253970303776463,0.0682192421131247
state,IL,base,120,0.012706585688807729,0.11758615508000797
state,IL,high_prepayment,120,0.009281592600230612,0.23484193768748313
state,MI,adverse_credit,71,0.023744668174211968,0.13409329166626774
state,MI,base,71,0.008826253232314778,0.2235383456955649
state,MI,high_prepayment,71,0.006094286291908336,0.402312889619697
state,NC,adverse_credit,81,0.02118152226249648,0.13724352038642593
state,NC,base,81,0.006845894854478372,0.2279124299009651
state,NC,high_prepayment,81,0.0046591225713551385,0.40575396242568595
state,NY,adverse_credit,122,0.028191098504802774,0.079260745982535
state,NY,base,122,0.01166529594189073,0.1377488440744306
state,NY,high_prepayment,122,0.00867259223827348,0.2725371113839169
state,New York,adverse_credit,4,0.015405934392890862,0.06897886883987128
state,New York,base,4,0.004584411143175669,0.1205422463125211
state,New York,high_prepayment,4,0.003216167978891747,0.2445408962700408
state,OH,adverse_credit,89,0.0330164009614539,0.08823705092845757
state,OH,base,89,0.013040122835285167,0.15163434664277153
state,OH,high_prepayment,89,0.00960793367635482,0.29247416742544835
state,PA,adverse_credit,85,0.0451792429488842,0.08860044569977436
state,PA,base,85,0.020125848713775613,0.15305490334072056
state,PA,high_prepayment,85,0.015118465379856462,0.2959752096093703
state,TX,adverse_credit,165,0.025849482181315577,0.08443981865785391
state,TX,base,165,0.008061635620739149,0.14453135487474705
state,TX,high_prepayment,165,0.0055432478068654315,0.2815289915916862
state,Texas,adverse_credit,7,0.01869318404673534,0.08373807667820223
state,Texas,base,7,0.0055062412760262785,0.1454407995151882
state,Texas,high_prepayment,7,0.0037769386306949647,0.2872445998235129
state,WA,adverse_credit,90,0.02940478057847657,0.0999254165978923
state,WA,base,90,0.014948291486639908,0.1715739777454758
state,WA,high_prepayment,90,0.011716374683741471,0.32494603094199237
state,ca,adverse_credit,14,0.03788305212963582,0.11759434917785531
state,ca,base,14,0.012896746645486207,0.1991699210686629
state,ca,high_prepayment,14,0.00879169485957573,0.3664388414216556
state,ny,adverse_credit,7,0.05900313227733792,0.10659372201521979
state,ny,base,7,0.022024252764642527,0.18196379367394178
state,ny,high_prepayment,7,0.015001638637249914,0.33629052221140115
state,tx,adverse_credit,11,0.04978479438577788,0.12778268939745246
state,tx,base,11,0.018562184916238896,0.2180557091805829
state,tx,high_prepayment,11,0.012779834435370547,0.40307206042046106
vintage,2019,adverse_credit,234,0.04260022245072227,0.06506312251313072
vintage,2019,base,234,0.018477854000256,0.11342765554724973
vintage,2019,high_prepayment,234,0.01352424120935518,0.22809214146231843
vintage,2020,adverse_credit,234,0.04165658954810299,0.06704727362501173
vintage,2020,base,234,0.01649463565474799,0.11382679958357711
vintage,2020,high_prepayment,234,0.01166807964777952,0.22679757551593072
vintage,2021,adverse_credit,288,0.037940227110234474,0.06817606399048179
vintage,2021,base,288,0.01575582663429235,0.11772189253096697
vintage,2021,high_prepayment,288,0.011637290641176523,0.2359943569120967
vintage,2022,adverse_credit,325,0.03024395093199302,0.09262023981188638
vintage,2022,base,325,0.01411184764168054,0.16158045563249956
vintage,2022,high_prepayment,325,0.011052322141594465,0.3146197359677316
vintage,2023,adverse_credit,380,0.01746303387670368,0.14831079571366998
vintage,2023,base,380,0.006548456675989163,0.2494985143476382
vintage,2023,high_prepayment,380,0.0046856670503146415,0.4491233768366066
