loan_id,reporting_month,current_status,days_past_due,current_balance,document_status,exception_type,rule_violations,data_quality_score
LN100344,2020-01-01,Current,0,264358.88,Complete,date_invalid,3,22.5
LN100414,2018-11-01,Current,0,244830.79,Missing,date_invalid,3,23.75
LN101529,2022-10-01,Current,0,397851.48,Complete,date_invalid,3,23.75
LN100238,2021-12-01,Current,0,393299.88,Complete,date_invalid,3,25.0
LN100383,2022-07-01,60DPD,60,286989.69,Missing,date_invalid,3,25.0
LN100783,2019-09-01,Current,0,107427.22,Complete,date_invalid,3,25.0
LN100880,2020-11-01,Current,0,181496.0,Complete,date_invalid,3,25.0
LN101080,2021-02-01,Current,0,278570.62,Complete,date_invalid,3,25.0
LN101583,2019-06-01,Current,0,227326.53,Complete,date_invalid,3,25.0
LN100546,2023-06-01,Current,0,742706.2645693532,Missing,balance_inconsistency,3,26.25
LN100287,2020-05-01,Current,0,418075.38759251655,Complete,balance_inconsistency,2,27.5
LN100486,2022-01-01,Current,0,662561.8694632767,Missing,balance_inconsistency,3,27.5
LN100503,2021-12-01,Current,0,712976.0498914997,Missing,balance_inconsistency,3,27.5
LN100875,2023-09-01,Current,0,616602.501058596,Complete,balance_inconsistency,3,27.5
LN100909,2022-09-01,Current,0,710375.7723317096,Complete,balance_inconsistency,3,27.5
LN100164,2022-01-01,Current,0,524550.0926086014,Complete,balance_inconsistency,3,28.75
LN100490,2021-04-01,Current,0,444822.6298862178,Pending,balance_inconsistency,2,28.75
LN100520,2023-02-01,Current,0,181452.63239717812,Complete,balance_inconsistency,3,28.75
LN100859,2023-04-01,Current,0,235383.82105823825,Complete,balance_inconsistency,3,28.75
LN101057,2022-10-01,Current,0,544385.5775574847,Complete,balance_inconsistency,3,28.75
LN101127,2021-11-01,Current,0,462977.7964901368,Pending,balance_inconsistency,3,28.75
LN101636,2022-05-01,Current,0,306865.1626103057,Pending,balance_inconsistency,3,28.75
LN101675,2021-12-01,Current,0,500142.5920613616,Complete,balance_inconsistency,3,28.75
LN101874,2020-11-01,Current,0,420630.2903752111,Complete,balance_inconsistency,3,28.75
LN101389,2021-10-01,Current,0,454033.1590325964,,balance_inconsistency,2,29.58
