loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LN100000,0,2023-12-01,2023-12-01,0,360,281400.0,280971.27,5.439,740-779,81-90,44-50,FL,Purchase,Investment,Single Family,Sunrise Servicing,Current,0,0,0,0,,2023-12-06,LOS_A,,0,0,0,0,Current,0,none
LN100001,0,2020-09-01,2020-09-01,0,180,155400.0,154927.79,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2020-09-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,1,2020-10-01,2020-09-01,1,179,155400.0,154454.4,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2020-10-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,2,2020-11-01,2020-09-01,2,178,155400.0,153979.82,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2020-11-09,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,3,2020-12-01,2020-09-01,3,177,155400.0,153504.04,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2020-12-08,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,4,2021-01-01,2020-09-01,4,176,155400.0,153027.05,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-01-09,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,5,2021-02-01,2020-09-01,5,175,155400.0,152548.84,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-02-04,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,6,2021-03-01,2020-09-01,6,174,155400.0,380591.0164400819,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-03-05,LOS_A,Complete,0,0,0,0,Current,1,balance_inconsistency
LN100001,7,2021-04-01,2020-09-01,7,173,155400.0,151588.72,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-04-03,LOS_B,Pending,0,0,0,0,Current,0,none
LN100001,8,2021-05-01,2020-09-01,8,172,155400.0,151106.79,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-05-07,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,9,2021-06-01,2020-09-01,9,171,155400.0,150623.6,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-06-01,Core,Complete,0,0,0,0,Current,0,none
LN100001,10,2021-07-01,2020-09-01,10,170,155400.0,150139.14,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-07-07,Core,Complete,0,0,0,0,Current,0,none
LN100001,11,2021-08-01,2020-09-01,11,169,155400.0,149653.39,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-08-04,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,12,2021-09-01,2020-09-01,12,168,155400.0,149166.36,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-09-07,Core,Pending,0,0,0,0,Current,0,none
LN100001,13,2021-10-01,2020-09-01,13,167,155400.0,148678.02,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-10-07,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,14,2021-11-01,2020-09-01,14,166,155400.0,148188.36,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-11-04,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,15,2021-12-01,2020-09-01,15,165,155400.0,147697.37,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2021-12-08,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,16,2022-01-01,2020-09-01,16,164,155400.0,147205.05,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-01-03,Core,,0,0,0,0,Current,0,none
LN100001,17,2022-02-01,2020-09-01,17,163,155400.0,146711.37,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-02-02,LOS_A,Pending,0,0,0,0,Current,0,none
LN100001,18,2022-03-01,2020-09-01,18,162,155400.0,146216.33,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-03-09,Core,Pending,0,0,0,0,Current,0,none
LN100001,19,2022-04-01,2020-09-01,19,161,155400.0,145719.92,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-04-06,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,20,2022-05-01,2020-09-01,20,160,155400.0,145222.12,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-05-04,LOS_A,Pending,0,0,0,0,Current,0,none
LN100001,21,2022-06-01,2020-09-01,21,159,155400.0,144722.92,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-06-07,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,22,2022-07-01,2020-09-01,22,158,155400.0,144222.3,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-07-07,LOS_A,Pending,0,0,0,0,Current,0,none
LN100001,23,2022-08-01,2020-09-01,23,157,155400.0,143720.26,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-08-03,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,24,2022-09-01,2020-09-01,24,156,155400.0,143216.79,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-09-05,Core,Complete,0,0,0,0,Current,0,none
LN100001,25,2022-10-01,2020-09-01,25,155,155400.0,142711.85,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-10-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,26,2022-11-01,2020-09-01,26,154,155400.0,142205.46,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-11-03,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,27,2022-12-01,2020-09-01,27,153,155400.0,141697.58,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2022-12-06,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,28,2023-01-01,2020-09-01,28,152,155400.0,141188.21,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-01-04,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,29,2023-02-01,2020-09-01,29,151,155400.0,140677.33,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-02-09,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,30,2023-03-01,2020-09-01,30,150,155400.0,140164.93,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-03-07,LOS_A,,0,0,0,0,Current,0,none
LN100001,31,2023-04-01,2020-09-01,31,149,155400.0,139650.99,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-04-01,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,32,2023-05-01,2020-09-01,32,148,155400.0,139135.5,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-05-08,Core,Complete,0,0,0,0,Current,0,none
LN100001,33,2023-06-01,2020-09-01,33,147,155400.0,138618.45,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-06-08,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,34,2023-07-01,2020-09-01,34,146,155400.0,138099.8,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-07-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100001,35,2023-08-01,2020-09-01,35,145,155400.0,137579.57,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-08-01,LOS_B,Complete,0,0,0,0,Current,0,none
LN100001,36,2023-09-01,2020-09-01,36,144,155400.0,137057.71,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-09-03,Core,Complete,0,0,0,0,Current,0,none
LN100001,37,2023-10-01,2020-09-01,37,143,155400.0,136534.23,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-10-08,LOS_A,Pending,0,0,0,0,Current,0,none
LN100001,38,2023-11-01,2020-09-01,38,142,155400.0,136009.1,4.159,740-779,81-90,,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-11-08,LOS_A,Complete,0,0,0,1,Current,0,none
LN100001,39,2023-12-01,2020-09-01,39,141,155400.0,135482.3,4.159,740-779,81-90,31-36,PA,Purchase,Primary,Single Family,Cornerstone Servicing,Current,0,0,0,0,,2023-12-02,LOS_A,Complete,0,0,0,1,Current,0,none
LN100002,0,2021-10-01,2021-10-01,0,180,383500.0,382334.67,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-10-03,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,1,2021-11-01,2021-10-01,1,179,383500.0,381166.42,3.963,700-739,91-95,,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-11-09,Core,Complete,0,0,0,0,Current,0,none
LN100002,2,2021-12-01,2021-10-01,2,178,383500.0,379995.24,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-12-07,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,3,2022-01-01,2021-10-01,3,177,383500.0,378821.1,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-01-01,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,4,2022-02-01,2021-10-01,4,176,383500.0,377643.97,3.963,700-739,91-95,,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-02-06,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,5,2022-03-01,2021-10-01,5,175,383500.0,376463.83,3.963,700-739,91-95,,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-03-05,Core,Complete,0,0,0,0,Current,0,none
LN100002,6,2022-04-01,2021-10-01,6,174,383500.0,375280.66,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-04-07,Core,Complete,0,0,0,0,Current,0,none
LN100002,7,2022-05-01,2021-10-01,7,173,383500.0,374094.43,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-05-07,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,8,2022-06-01,2021-10-01,8,172,383500.0,372905.11,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-06-08,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,9,2022-07-01,2021-10-01,9,171,383500.0,371712.68,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-07-01,Core,Complete,0,0,0,0,Current,0,none
LN100002,10,2022-08-01,2021-10-01,10,170,383500.0,370517.12,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-08-10,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,11,2022-09-01,2021-10-01,11,169,383500.0,369318.38,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-09-07,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,12,2022-10-01,2021-10-01,12,168,383500.0,368116.46,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-10-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,13,2022-11-01,2021-10-01,13,167,383500.0,366911.32,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-11-08,LOS_B,Pending,0,0,0,0,Current,0,none
LN100002,14,2022-12-01,2021-10-01,14,166,383500.0,365702.93,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-12-01,Core,Complete,0,0,0,0,Current,0,none
LN100002,15,2023-01-01,2021-10-01,15,165,383500.0,364491.26,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-01-05,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,16,2023-02-01,2021-10-01,16,164,383500.0,363276.29,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-02-10,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,17,2023-03-01,2021-10-01,17,163,383500.0,362057.99,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-03-04,LOS_B,Missing,0,0,0,0,Current,0,none
LN100002,18,2023-04-01,2021-10-01,18,162,383500.0,360836.32,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-04-08,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,19,2023-05-01,2021-10-01,19,161,383500.0,359611.26,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-05-08,LOS_A,,0,0,0,0,Current,0,none
LN100002,20,2023-06-01,2021-10-01,20,160,383500.0,358382.77,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-06-08,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,21,2023-07-01,2021-10-01,21,159,383500.0,357150.83,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-07-01,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,22,2023-08-01,2021-10-01,22,158,383500.0,355915.4,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-08-06,Core,Complete,0,0,0,0,Current,0,none
LN100002,23,2023-09-01,2021-10-01,23,157,383500.0,354676.46,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-09-03,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,24,2023-10-01,2021-10-01,24,156,383500.0,353433.96,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-10-01,LOS_A,Complete,0,0,0,0,Current,0,none
LN100002,25,2023-11-01,2021-10-01,25,155,383500.0,352187.88,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-11-01,LOS_B,Complete,0,0,0,0,Current,0,none
LN100002,26,2023-12-01,2021-10-01,26,154,383500.0,350938.18,3.963,700-739,91-95,44-50,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-12-02,LOS_B,Complete,0,0,0,0,Current,0,none
LN100003,0,2021-09-01,2021-09-01,0,360,407700.0,407078.85,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,,Current,0,0,0,0,,2021-09-01,LOS_B,Complete,0,0,0,1,Current,0,none
LN100003,1,2021-10-01,2021-09-01,1,359,407700.0,406456.92,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Current,0,0,0,0,,2021-10-04,LOS_A,Complete,0,0,0,1,Current,0,none
LN100003,2,2021-11-01,2021-09-01,2,358,407700.0,405834.22,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Current,0,0,0,0,,2021-11-07,LOS_A,Complete,0,0,0,1,Current,0,none
LN100003,3,2021-12-01,2021-09-01,3,357,407700.0,405210.73,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Current,0,0,0,0,,2021-12-01,LOS_A,Complete,0,0,0,1,Current,0,none
LN100003,4,2022-01-01,2021-09-01,4,356,407700.0,404586.46,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Current,0,0,0,0,,2022-01-07,Core,Complete,0,0,0,1,Current,0,none
LN100003,5,2022-02-01,2021-09-01,5,355,407700.0,403961.39,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Current,0,0,0,0,,2022-02-07,LOS_A,Complete,0,0,0,1,Current,0,none
LN100003,6,2022-03-01,2021-09-01,6,354,407700.0,403335.54,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Current,0,0,0,0,,2022-03-05,LOS_B,Complete,0,0,0,1,Prepaid,0,none
LN100003,7,2022-04-01,2021-09-01,7,353,407700.0,403335.54,3.275,780+,61-70,21-30,OH,Purchase,Primary,Condo,Cornerstone Servicing,Prepaid,0,0,1,0,,2022-04-10,LOS_A,Complete,0,0,0,0,Prepaid,0,none
LN100004,0,2023-05-01,2023-05-01,0,360,293100.0,292653.45,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-05-03,LOS_A,Complete,0,0,0,0,Current,0,none
LN100004,1,2023-06-01,2023-05-01,1,359,293100.0,292206.34,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-06-08,LOS_A,Complete,0,0,0,0,Current,0,none
LN100004,1,2023-06-01,2023-05-01,1,359,293100.0,292206.34,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-06-08,LOS_A,Complete,0,0,0,0,Current,0,none
LN100004,2,2023-07-01,2023-05-01,2,358,293100.0,730197.7174270854,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-07-06,LOS_A,Complete,0,0,0,0,Current,1,balance_inconsistency
LN100004,3,2023-08-01,2023-05-01,3,357,293100.0,291310.44,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-08-04,LOS_A,Complete,0,0,0,0,Current,0,none
LN100004,4,2023-09-01,2023-05-01,4,356,293100.0,290861.64,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-09-05,Core,Pending,0,0,0,0,Current,0,none
LN100004,5,2023-10-01,2023-05-01,5,355,293100.0,290412.27,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-10-08,Core,Complete,0,0,0,0,Current,0,none
LN100004,6,2023-11-01,2023-05-01,6,354,293100.0,289962.34,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-11-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100004,7,2023-12-01,2023-05-01,7,353,293100.0,289511.83,5.712,620-659,<=60,37-43,IL,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-12-06,Core,Complete,0,0,0,0,Current,0,none
LN100005,0,2021-04-01,2021-04-01,0,360,404700.0,404083.42,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-04-01,LOS_B,Complete,0,0,0,0,Current,0,none
LN100005,1,2021-05-01,2021-04-01,1,359,404700.0,403466.07,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-05-05,Core,Complete,0,0,0,0,Current,0,none
LN100005,2,2021-06-01,2021-04-01,2,358,404700.0,402847.95,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-06-04,LOS_B,Complete,0,0,0,0,Current,0,none
LN100005,3,2021-07-01,2021-04-01,3,357,404700.0,402229.05,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-07-09,LOS_B,Pending,0,0,0,0,Current,0,none
LN100005,4,2021-08-01,2021-04-01,4,356,404700.0,401609.37,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-08-03,LOS_B,Complete,0,0,0,0,Current,0,none
LN100005,5,2021-09-01,2021-04-01,5,355,404700.0,400988.9,3.339,780+,81-90,,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-09-07,LOS_A,Complete,0,0,0,0,Current,0,none
LN100005,6,2021-10-01,2021-04-01,6,354,404700.0,400367.65,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-10-07,LOS_A,Complete,0,0,0,0,Current,0,none
LN100005,7,2021-11-01,2021-04-01,7,353,404700.0,399745.61,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-11-07,LOS_A,Complete,0,0,0,0,Current,0,none
LN100005,8,2021-12-01,2021-04-01,8,352,404700.0,399122.78,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2021-12-08,Core,Complete,0,0,0,0,Current,0,none
LN100005,9,2022-01-01,2021-04-01,9,351,404700.0,398499.15,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-01-07,Core,Complete,0,0,0,0,Current,0,none
LN100005,10,2022-02-01,2021-04-01,10,350,404700.0,397874.72,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-02-03,Core,Complete,0,0,0,0,Current,0,none
LN100005,11,2022-03-01,2021-04-01,11,349,404700.0,397249.49,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-03-10,Core,Complete,0,0,0,0,Current,0,none
LN100005,12,2022-04-01,2021-04-01,12,348,404700.0,396623.45,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-04-06,LOS_A,Complete,0,0,0,0,Current,0,none
LN100005,13,2022-05-01,2021-04-01,13,347,404700.0,395996.6,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-05-02,LOS_A,Complete,0,0,0,1,Current,0,none
LN100005,14,2022-06-01,2021-04-01,14,346,404700.0,395368.94,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-06-10,LOS_B,Pending,0,0,0,1,Current,0,none
LN100005,15,2022-07-01,2021-04-01,15,345,404700.0,394740.47,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-07-10,LOS_A,Complete,0,0,0,1,Current,0,none
LN100005,16,2022-08-01,2021-04-01,16,344,404700.0,394111.17,3.339,780+,81-90,,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-08-03,LOS_A,Complete,0,0,0,1,Current,0,none
LN100005,17,2022-09-01,2021-04-01,17,343,404700.0,393481.05,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-09-03,LOS_B,Complete,0,0,0,1,Current,0,none
LN100005,18,2022-10-01,2021-04-01,18,342,404700.0,392850.1,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-10-04,LOS_A,Complete,0,0,0,1,Current,0,none
LN100005,19,2022-11-01,2021-04-01,19,341,404700.0,392218.33,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-11-01,Core,Pending,0,0,0,1,Current,0,none
LN100005,20,2022-12-01,2021-04-01,20,340,404700.0,980039.4240933502,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2022-12-05,Core,,0,0,0,1,Current,1,balance_inconsistency
LN100005,21,2023-01-01,2021-04-01,21,339,404700.0,390952.27,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-01-09,LOS_B,Complete,0,0,0,1,Current,0,none
LN100005,22,2023-02-01,2021-04-01,22,338,404700.0,390317.98,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-02-03,LOS_A,Complete,0,0,0,1,Current,0,none
LN100005,23,2023-03-01,2021-04-01,23,337,404700.0,389682.85,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-03-02,LOS_B,Complete,0,0,0,1,Current,0,none
LN100005,24,2023-04-01,2021-04-01,24,336,404700.0,389046.87,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Current,0,0,0,0,,2023-04-07,LOS_A,Complete,0,0,0,1,Prepaid,0,none
LN100005,25,2023-05-01,2021-04-01,25,335,404700.0,389046.87,3.339,780+,81-90,<=20,NC,Purchase,Primary,Single Family,Meridian Loan Services,Prepaid,0,0,1,0,,2023-05-09,LOS_A,Missing,0,0,0,0,Prepaid,1,document_gap
LN100006,0,2020-06-01,2020-06-01,0,180,231700.0,230995.94,5.085,620-659,71-80,31-36,AZ,Purchase,Primary,Single Family,Apex Mortgage Co,Current,0,0,0,0,,2020-06-04,LOS_A,Complete,0,0,0,0,Current,0,none
