loan_id,reporting_month,current_status,current_balance,days_past_due,last_updated_at,source_system
LN100609,2024-03-01,Current,587848.68,0,2024-03-07,Servicer_Feed
LN100258,2023-03-01,Current,369894.13031111885,0,2023-03-04,Servicer_Feed
LN100483,2024-02-01,Current,372710.38,0,2024-02-05,Servicer_Feed
LN100902,2022-08-01,Current,191255.88,0,2022-04-01,Servicer_Feed
LN101793,2022-06-01,Current,298188.05,0,2022-06-05,Servicer_Feed
LN101110,2023-07-01,Current,149919.45,0,2023-07-06,Servicer_Feed
LN101469,2021-04-01,Current,420068.78,0,2021-04-07,Servicer_Feed
LN100893,2023-10-01,Current,257969.56,0,2023-10-09,Servicer_Feed
LN101754,2022-07-01,Current,309536.3,0,2022-07-10,Servicer_Feed
LN100091,2024-02-01,Current,119825.23,0,2024-02-06,Servicer_Feed
LN100466,2020-03-01,Current,185698.48,0,2020-03-03,Servicer_Feed
LN101503,2020-10-01,Current,284916.2209584311,0,2020-10-03,Servicer_Feed
LN101317,2021-12-01,Current,241641.6,0,2021-12-06,Servicer_Feed
LN100729,2020-07-01,Current,103751.38,0,2020-07-05,Servicer_Feed
LN101366,2024-01-01,Current,171134.26726665808,0,2024-01-05,Servicer_Feed
LN101169,2021-05-01,Current,227657.53,0,2021-05-10,Servicer_Feed
LN100150,2019-12-01,Current,183671.68,0,2019-12-06,Servicer_Feed
LN100107,2021-07-01,Current,393519.45,0,2021-07-01,Servicer_Feed
LN100133,2022-03-01,Current,377136.63,0,2022-03-09,Servicer_Feed
LN101781,2023-07-01,Current,129655.59,0,2023-03-01,Servicer_Feed
LN100627,2022-11-01,Current,184809.5,0,2022-11-04,Servicer_Feed
LN101114,2024-10-01,Current,328848.05,0,2024-06-01,Servicer_Feed
LN101398,2023-10-01,Current,272328.39,0,2023-10-10,Servicer_Feed
LN100346,2023-08-01,Current,442018.4399946136,0,2023-08-10,Servicer_Feed
LN100502,2024-06-01,Current,180817.43,0,2024-06-08,Servicer_Feed
LN101717,2024-06-01,Current,264404.19,0,2024-06-09,Servicer_Feed
LN100883,2022-03-01,Current,116965.09,0,2022-03-03,Servicer_Feed
LN101221,2023-09-01,Current,242358.78,0,2023-09-02,Servicer_Feed
LN100326,2021-01-01,Current,421189.0,0,2021-01-06,Servicer_Feed
LN100027,2023-02-01,Current,364822.76,0,2023-02-04,Servicer_Feed
LN101603,2024-08-01,Prepaid,156554.9488848975,0,2024-08-08,Servicer_Feed
LN101219,2022-08-01,Current,192021.3,0,2022-08-10,Servicer_Feed
LN101200,2020-06-01,Current,150554.95,0,2020-06-05,Servicer_Feed
LN101068,2023-09-01,Current,102372.64,0,2023-09-07,Servicer_Feed
LN101620,2021-01-01,Current,92528.73,0,2021-01-09,Servicer_Feed
LN100473,2023-09-01,Current,196224.91,0,2023-09-04,Servicer_Feed
LN101620,2021-09-01,Current,89891.92,0,2021-05-01,Servicer_Feed
LN100886,2024-05-01,Current,186028.14,0,2024-05-07,Servicer_Feed
LN101192,2021-04-01,Current,327318.30191562837,0,2021-04-02,Servicer_Feed
LN100163,2022-06-01,Current,330800.11,0,2022-06-05,Servicer_Feed
LN101751,2023-12-01,Current,179260.14,0,2023-12-05,Servicer_Feed
LN100609,2020-07-01,Current,633772.05,0,2020-07-08,Servicer_Feed
LN100355,2023-02-01,Current,324774.09,0,2023-02-06,Servicer_Feed
